date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate
1991-02-19,"February 19, 91",0.0010714275,0.12,1991-02-22,1991-03-15,
1991-02-15,"February 15, 91",0.001071,0.12,,,
1990-11-19,"November 19, 90",0.0010714275,0.12,1990-11-23,1990-12-14,1990-11-08
1990-11-16,"November 16, 90",0.001071,0.12,,,
1990-08-21,"August 21, 90",0.0009821419,0.11,1990-08-24,1990-09-14,1990-07-23
1990-08-20,"August 20, 90",0.000982,0.11,,,
1990-05-22,"May 22, 90",0.0009821419,0.11,1990-05-25,1990-06-15,1990-04-09
1990-05-21,"May 21, 90",0.000982,0.11,,,
1990-02-19,"February 19, 90",0.0009821419,0.11,1990-02-23,1990-03-15,1990-02-02
1990-02-16,"February 16, 90",0.000982,0.11,,,
1989-11-17,"November 17, 89",0.000982,0.1,,,
1989-08-21,"August 21, 89",0.000893,0.1,,,
1989-05-22,"May 22, 89",0.000893,0.1,,,
1989-02-17,"February 17, 89",0.000893,0.1,,,
1988-11-21,"November 21, 88",0.000893,0.1,,,
1988-08-15,"August 15, 88",0.000714,0.08,,,
1988-05-16,"May 16, 88",0.000714,0.08,,,
1988-02-12,"February 12, 88",0.000714,0.08,,,
1987-11-17,"November 17, 87",0.000714,0.08,,,
1987-08-10,"August 10, 87",0.000536,0.06,,,
1987-05-11,"May 11, 87",0.000536,0.06,,,
